Onsite-Prepare for work and commute,On site-Work time,Onsite-Domestic responsibilities,Onsite-Personal and family time,Onsite-Sleep,Remote-Preparing for work and commuting,Remote - Working time,Remote-Domestic responsibilities,Remote-Personal and family time,Remote-Sleep,Remote work with salary cuts
2,5,5,5,7,5,5,5,5,4,No
2,8,3,3,8,2,2,4,8,8,Yes
3,8,3,2,8,0,7.5,3.5,4,9,Yes
1,9,50,6,8,1,8,1,6,8,No
2,7.5,3,4,7.5,0,8.5,3,5,7.5,No
2,8,50,5,9,0,8,50,6,10,No
3,8,3,2,8,0,8,3,5,8,Yes
1.5,8.5,1,5,8,1,8,1,6,8,No
1,10.5,3,1.5,8,0.5,8.5,3,3,9,No
5,8,2,1,8,5,8,2,1,8,Yes
3,8,3,2,8,0.5,8,5,3,7.5,No
2,7.5,3.5,3,8,0,7.5,3.5,5,8,No
2,6,2,4,10,3,6,2,3,10,No
1,5,2,8,8,8,3,2,3,8,Yes
4,7,2,3,8,0.5,8,2,5.5,8,No
3,7,7,50,7,1,7,7,50,9,Yes
1.5,5,2,5.5,10,0,5,7,2,10,No
1,8,3,4,8,0.5,8.5,4,3,8,No
2,8,4,3,7,0.5,8,3,5.5,7,No
2,8,4,4,6,0.5,8,2.5,5,8,Yes
2,8,1,5,8,1,8,1,6,8,No
2,8,2,4,8,0,8,3,5,8,No
2,8,5,1,8,0,8,5,3,8,Yes
2,8,4,2,8,2,8,4,3,7,No
1,5,4,4,10,1,6,3,4,10,No
3,8,2,3,8,0,10,4,2,8,Yes
4,6,4,2,8,6,8,2,4,4,Yes
3,8,1,3,9,0.5,8,1.5,5,9,No
4,5,6,3,6,3,10,6,3,2,Yes
8,4,3,4,5,5,4,5,7,3,Yes
0.25,10,2.5,3.5,7.7,0,10,2.5,2.5,9,No
2,8,3,2,9,0,6,5,4,9,No
1,8,3,5,7,0,8,3,4,9,No
2,7,1,5,9,0,5,1,11,7,No
2,8,3,2,9,0.5,8,3,3.5,9,No
5,10,5,2,2,10,4,5,5,0,Yes
2,8,2,4,8,0,8,4,4,8,No
2.5,10,1.5,2,8,0.5,11,1.5,3,8,No
2,6,0,2,14,2,7,2,7,6,No
2,10,2,3,7,0,10,2,5,7,Yes
1.5,8,2,3.5,9,0,6,5,3,10,No
1,8,3,3,9,0.5,8,4,4,7.5,Yes
2,8,0,7,7,0,8,0,9,7,No
4,8,2,3,7,0,9,3,4,8,No
1,9,2,4,8,0.5,9.5,2,4,8,No
3.5,10,2,1.5,7,0,9,2,6,7,Yes
1,7.5,50,6.5,9,0,9,50,6,9,No
3,12,1,1,7,2,12,1,2,7,Yes
3,6,6,1,8,1,5,5,5,8,No
2,8,3,5,6,2,8,2,5,7,No
2,8,7,6,1,2,8,2,2,10,No
2,8,3,3,8,1,8,3,4,8,No
1,8,3,4,8,0,10,2,4,8,No
3,7.5,3.5,2,8,0.5,8,4,3.5,8,Yes
1,8.5,6,2,6.5,0,8,6,3,7,No
2,8,5,3,6,1,9,5,4,5,No
1,10,2,4,7,0.5,10,2.5,4,7,No
6,8,1,2,7,1,8,1,6,8,No
1,12,2,3,6,1,12,3,3,5,No
2.5,8,5.5,1,7,0.5,8,5.5,3,7,No
1.5,8,50,7,7.5,0.5,8,2,6,7.5,No
2,8,3,5,6,0.5,8,3,5,7.5,No
3,6,4,0,11,3,6,4,0,11,Yes
2,4,6,7,5,8,5,2,7,2,Yes
2,7.5,3.5,4,7,0.5,8,4.5,4,7,No
2,8,2,4,8,0,9,3,4,8,No
3,6,4,4,7,3,8,3,3,7,Yes
4,5,4,3,8,0,6,3,7,8,Yes
2,8,2,4,8,0,8,4,4,8,No
3,7,6,3,5,4,9,4,3,4,No
2,8,3,3,8,0,7,3,5,9,Yes
2,5,6,3,8,0,1,7,8,8,No
2,9,2,3,8,2,9,2,3,8,Yes
3,8,4,3,6,1,9,4,3,7,Yes
2,5,4,5,8,0.5,5,5,5.5,8,No
0,9,3,4,8,0,9,4,3,8,Yes
0,7,2,7,8,0,7,2,7,8,Yes
1,7,3,6,7,0,7,3,6,8,No
2,8,2,4,8,3,8,3,2,8,Yes
0,8,0,4,12,0,8,1,3,12,Yes
2,4,1,5,12,1,8,2,4,9,Yes
20,50,50,50,4,20,50,50,50,4,No
4,3,3,3,11,4,4,4,4,8,Yes
3,8,2,3,8,0,10,4,4,6,No
2,8,1,6,7,1,6,3,6,8,No
3.5,8,2,2.5,8,0.5,8.5,3,4,8,Yes
1,5,2,8,8,1,5,2,8,8,No
2.5,8,1.5,4,8,0.5,9,1.5,5,8,No
5,8,0.5,2.5,8,0.5,9,1,5.5,8,Yes
2,7,3,4,8,0,7,4,5,8,No
3,7,6,5,3,3,6,5,7,3,No
2,8,3,3,8,4,8,2,4,6,Yes
2,8,4,2,8,0,11,3,2,8,No
2,8,2,4,8,0,8,3,4,9,Yes
3,9,2,3,7,0.5,9,2,5.5,7,No
1,8,4,6,5,2,7,3,6,6,No
2,8.5,1,5,7.5,0,8.5,1,7,7.5,No
8,2,2,6,6,2,9,3,4,6,Yes
0.5,4,3,6.5,10,0,4,3,7,10,No
2,6,4,4,8,0,6,4,6,8,No
3,8,3,2,8,0,8,3,5,8,Yes
1,9,50,5,9,2,8,1,3,10,Yes
5,5,5,5,4,5,5,5,5,4,No
2,10,3,3,6,0.5,6,5,4,8.5,No
1,7,3,5,8,1,7,3,5,8,Yes
2,7,3,5,7,2,7,5,3,7,Yes
2.5,9,2.5,3,7,0.5,8,2,5.5,8,Yes
10,3,11,50,50,3,2,12,5,2,Yes
1,6,5,4,8,1,5,4,5,9,Yes
2,9,2,3,8,0,12,2,2,8,No
3,8,2,3,8,1,10,3,3,7,No
1,14,2,2,5,1,6,7,4,6,Yes
3,3,5,4,9,50,8,50,7,9,Yes
6,2,4,4,8,8,2,2,3,9,Yes
1,9,5,3,6,1,9,4,3,7,Yes
2,8,4,2,8,2,8,4,2,8,Yes
1,12,4,0,7,0,15,3,0,6,No
1,8,5,2,8,1,8,5,3,7,No
2,8,4,2,8,2,8,4,2,8,Yes
2,8,2,4,8,1,8,3,4,8,No
1,8,3,4,8,0,8,4,4,8,No
1,8,3,4,8,0,8,4,4,8,Yes
2,8,1,5,8,0,8,2,5,9,No
1,8,4,3,8,1,8,4,3,8,No
3,9,2,3,7,0.5,10,3,4,6.5,Yes
4,5,5,5,5,5,5,5,5,4,Yes
1,8,5,2,8,1,7,6,2,8,No
0,8,5,4,7,0,8,5,4,7,No
2,6,4,6,6,1,7,4,6,6,No
2,8,3,4,7,0,8,4,4,8,Yes
7,6,3,2,6,1,8,7,2,6,No
3,9,2,3,7,1,10,3,3,7,No
4,1,3,8,8,4,8,8,2,2,Yes
2,8,2,4,8,0,7,4,5,8,No
2,8,2,4,8,0,8,4,4,8,No
3,12,0,5,4,3,12,0,5,4,No
1,5,3,7,8,1,5,3,7,8,No
3,7,3,3,8,0,10,3,3,8,No
1.5,7.5,4,4,7,0,7,5,5,7,No
2,10,2,4,6,2,10,5,0,7,Yes
3,8,3,3,7,1,10,3,3,7,No
1,8,0.5,6.5,8,0.5,8,2.5,5,8,No
1,7,3,5,8,1,8,2,5,8,Yes
4,10,2,4,4,6,6,2,4,6,Yes
2,5,2,5,10,2,8,3,3,8,Yes
2,8,2,4,8,0,8,2,6,8,No
1,9,4,6,4,1,9,6,4,4,No
1.5,8,2.5,4,8,0,9,3,4,8,Yes
2,6,4,5,7,50,7,5,5,7,Yes
1,9,6,1,7,0,9,6,2,7,No
6,7,1,5,5,6,6,4,2,6,No
1,10,1,3,9,0,8,2,6,8,No
3,8,5,2,6,2,10,5,2,5,No
2,8,3,4,7,0.5,9,1.5,5,8,No
4,7.5,3.5,2,7,0.5,7.5,3.5,3.5,9,Yes
1,9,2,5,7,1,8,3,5,7,No
2,9,2,3,8,1,9,3,3,8,No
2,7.5,4,4,6.5,0.5,8,5,3.5,7,No
1.5,10,2,3.5,7,0,10,2,5,7,No
1.5,7.6,2.8999,4,8,50,9,3,4,8,No
3,8,1,2,10,0,10,2,2,10,No
1,7,1,8,7,0,7,5,5,7,No
1,8,3,6,6,2,8,2,6,6,No
4,7.5,1.5,3,8,0,7.5,1.5,5,10,Yes
2.5,9,2.5,2.5,7.5,0,9.5,2.5,4.5,7.5,No
2,9,0,5,8,2,9,0,5,8,No
1.5,10,1,3,8.5,0,11,2,2,9,No
3,10,2,2,7,0,12,2,2,8,No
2,9,2,3,8,0.5,9.5,2,4,8,No
3,8,3,2,8,1,9,3,3,8,No
3,8,3.5,4,5.5,0,9,4,5,6,Yes
2,7,3,4,8,0,9,4,3,8,No
10,2,8,2,2,10,6,2,4,2,Yes
2.5,7.5,3,4,7,0,8,4,4,8,Yes
5,8,2,2,7,0,10,3,3,8,No
2,8,1,5,8,0,8,2,6,8,No
4,7.5,2,3.5,7,0.5,8,2,6.5,7,No
1,7,7,2,7,0.5,9,5.5,2,7,No
2.5,8,2,3.5,8,0.5,9,2,4.5,8,No
2,9,2,3,8,0.5,9.5,3,2,9,Yes
2,8,2,5,7,0,9,2,6,7,No
2,8,2,6,6,0,10,2,6,6,No
2,11,3,2,6,1,11,2,4,6,Yes
1,9,3,3,8,0,8,4,4,8,Yes
0.25,8,2.75,7,6,0.25,6,3.75,8,6,No
2,5,3,6,8,4,3,5,5,7,Yes
2,10,1,3,8,1,8,3,4,8,No
